date,phosphate
YYYY-MM-DD,uM
2020-06-02,0.0
2020-06-16,0.0
2020-06-30,0.0
2020-07-14,0.0
2020-07-21,0.5781
2020-07-29,0.0
2020-08-04,0.0
2020-08-12,0.0
2020-08-19,0.0
2020-08-24,0.0
2020-09-02,0.0
2020-09-10,0.0
2020-09-14,0.0
2020-09-22,0.0
2020-09-29,0.0
2020-10-05,0.0
2020-10-13,0.0
2020-10-20,0.0
2020-10-28,0.0
2020-11-03,0.0
2020-11-10,0.0
2020-11-19,0.0
2020-12-03,0.03
2021-01-06,0.0
2021-02-19,0.0
2021-03-09,0.0
2021-04-06,0.0
2021-04-28,0.07
2021-05-04,0.33
2021-05-13,0.0
2021-05-18,0.0
2021-05-27,0.04
2021-06-02,1.14
2021-06-08,0.09
2021-06-15,0.76
2021-06-22,0.0
2021-07-01,0.0
2021-07-07,0.0
2021-07-16,0.08
2021-07-27,0.0
2021-08-04,0.0
2021-08-10,0.0
2021-08-17,0.0
2021-08-24,0.0
2021-08-31,0.0
2021-09-08,0.0
2021-09-27,0.0
2021-10-15,0.0
2021-10-20,0.0
2021-10-28,0.0
2021-11-04,0.0
2021-11-08,0.0
2021-12-01,0.0
2022-01-07,0.08
2022-02-03,0.57
2022-03-03,0.0
