date,antimony
YYYY-MM-DD,ppb
2020-06-03,0.0
2020-06-16,0.0
2020-06-30,0.0
2020-07-14,0.04705
2020-07-21,0.15254
2020-07-29,0.05312
2020-08-04,0.15698
2020-08-12,0.0
2020-08-19,0.0
2020-08-24,0.0
2020-09-01,0.0
2020-09-10,0.0
2020-09-14,0.0
2020-09-23,0.0
2020-09-29,0.0
2020-10-05,0.0
2020-10-13,0.0
2020-10-20,0.0
2020-10-28,0.0
2020-11-03,0.0
2020-11-19,0.0
2020-12-03,0.0
2021-01-20,0.0
2021-02-19,0.08991
2021-03-09,0.09647
2021-04-28,0.0
2021-05-04,0.0
2021-05-13,0.0
2021-05-18,0.0
2021-06-02,0.0
2021-06-08,0.69767
2021-06-15,0.09386
2021-06-22,0.0
2021-07-01,0.0
2021-07-07,0.0
2021-07-20,0.053631399999999996
2021-07-27,0.0650801
2021-08-04,0.0279195
2021-08-10,0.034332
2021-08-17,0.023809399999999998
2021-08-24,0.0313083
2021-08-31,0.0705931
2021-09-08,0.0406464
2021-09-27,0.06686929999999999
2021-10-04,0.0632254
2021-10-15,0.0462452
2021-10-20,0.0439827
2021-10-28,0.1487984
2021-11-04,0.08271529999999999
2021-11-08,0.0503054
2021-12-01,0.11352009999999998
