date,tin
YYYY-MM-DD,ppb
2014-12-12,0.0223
2015-04-19,0.0
2015-05-11,9e-05
2015-05-24,0.0
2015-06-02,0.0
2015-06-18,0.0
2015-07-02,0.0
2015-07-15,0.0
2015-08-02,0.0
2015-08-09,0.0
2015-10-04,0.0
2015-10-13,0.0
2015-10-26,0.0
2015-11-09,0.0
2015-11-23,0.0
2016-04-08,0.01067
2016-04-21,0.031310000000000004
2016-05-02,0.0060578658
2016-05-20,0.0
2016-05-27,0.0189965072
2016-06-04,0.001253056
2016-06-11,0.0
2016-06-17,0.03549
2016-06-27,0.04109
2016-07-08,0.02839
2016-07-15,0.01182
2016-07-22,0.0
2016-07-29,0.0
2016-08-05,0.0
2016-08-12,0.01829
2016-08-19,0.0077399999999999995
2016-08-26,0.0
2016-09-02,0.0
2016-09-09,0.012580000000000001
2016-09-16,0.00889
2016-09-23,0.0
2016-09-30,0.0
2016-10-12,0.027620000000000002
2016-10-19,0.01736
2016-10-27,0.00973
2016-11-03,0.0
2016-11-12,0.20514000000000002
2016-11-23,0.0
2016-12-04,0.0
2017-05-14,0.0
2017-05-30,0.0
2017-06-15,0.0
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.0
2017-09-14,0.0
2017-09-27,0.0
2017-10-14,0.0
2017-10-23,0.0
2017-11-03,0.0
2017-11-16,0.0
2018-03-03,0.04045
2018-05-25,0.02425
2018-06-08,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-09,0.0
2018-07-15,0.02914
2018-08-10,0.02
2018-08-17,0.0
2018-08-24,0.0
2018-09-07,0.0
2018-09-14,0.0138
2018-09-21,0.0
2018-09-28,0.0
