Parameter,DL,units,,
DO,0.78,uM (micromoles per liter),,
Fe(II),3.12,uM (micromoles per liter),,
DOC,0.005,mM (millimoles per liter),,
DIC,0.005,mM (millimoles per liter),,
NH4,0.001,mM (millimoles per liter),,
Cl,0.0005,mM (millimoles per liter),,
SO4,0.0005,mM (millimoles per liter),,
NO3,0.0005,mM (millimoles per liter),,
Li,1.6E-07,moles per liter,,
Be,3.0E-08,moles per liter,,
B,1.2E-07,moles per liter,,
Na,1.4E-07,moles per liter,,
Mg,1.4E-07,moles per liter,,
Al,1.1E-07,moles per liter,,
Si,9.3E-07,moles per liter,,
K,1.4E-07,moles per liter,,
V,1.6E-09,moles per liter,,
Cr,1.7E-09,moles per liter,,
Mn,1.5E-09,moles per liter,,
Ca,1.3E-07,moles per liter,,
Fe,4.0E-08,moles per liter,,
Se,8.9E-08,moles per liter,,
Ti,3.4E-08,moles per liter,,
Ni,4.2E-09,moles per liter,,
Co,9.9E-10,moles per liter,,
Cu,3.4E-09,moles per liter,,
Zn,2.5E-07,moles per liter,,
Ge,8.6E-10,moles per liter,,
Rb,4.4E-10,moles per liter,,
Sr,6.6E-09,moles per liter,,
Zr,1.9E-09,moles per liter,,
Mo,2.5E-09,moles per liter,,
Ag,2.8E-09,moles per liter,,
Cd,9.3E-10,moles per liter,,
Sn,4.0E-09,moles per liter,,
Sb,4.5E-09,moles per liter,,
Cs,8.8E-11,moles per liter,,
Ba,2.2E-09,moles per liter,,
Eu,7.0E-11,moles per liter,,
Pb,3.9E-10,moles per liter,,
Th,1.2E-10,moles per liter,,
U,1.4E-10,moles per liter,,
Pb,6.1E-07,moles per liter,,
As,1.8E-09,moles per liter,,
